ENTRADA (h);SAIDA (h);SAIDA-ENTRADA (min)
0;0.0141666666666667;0.85
0.00638888888888889;0.0358333333333333;1.76666666666667
0.00833333333333333;0.0375;1.75
0.0480555555555556;0.0752777777777778;1.63333333333333
0.0522222222222222;0.0802777777777778;1.68333333333333
0.0641666666666667;0.0991666666666667;2.1
0.0833333333333333;0.135;3.1
0.104166666666667;0.136111111111111;1.91666666666667
0.113055555555556;0.156666666666667;2.61666666666667
0.126666666666667;0.162222222222222;2.13333333333333
0.153055555555556;0.165277777777778;0.733333333333333
0.212222222222222;0.246944444444444;2.08333333333333
0.23;0.250277777777778;1.21666666666667
0.243611111111111;0.304166666666667;3.63333333333333
0.286666666666667;0.338611111111111;3.11666666666666
0.2925;0.383333333333333;5.45
0.370277777777778;0.403888888888889;2.01666666666667
0.381388888888889;0.427222222222222;2.75
0.436666666666667;0.451111111111111;0.866666666666669
0.454722222222222;0.499444444444444;2.68333333333333
0.495;0.511944444444444;1.01666666666667
0.510555555555556;0.521388888888889;0.650000000000002
0.5275;0.559444444444445;1.91666666666667
0.566388888888889;0.602777777777778;2.18333333333333
0.597222222222222;0.633055555555556;2.15
0.673888888888889;0.723888888888889;3
0.715277777777778;0.754444444444444;2.35
0.723055555555556;0.755833333333333;1.96666666666667
1.01027777777778;1.02861111111111;1.1
1.13916666666667;1.15583333333333;0.999999999999996
